pipe,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
p15,-1.0669594,-0.88386536,-0.67090607,-0.48295593,-0.1260109,-0.14345169,-0.2874565,-0.27316666,0.0,-0.28723907,-0.16712189,-0.10789108,-0.17592621,-0.3176918,-0.42747307,-0.31818008,-0.41931915,-0.32030487,-0.12522125,-0.09780121,-0.1442337,-0.17119598,-0.2799034,-0.19854355,-0.29249573,-0.23364258,-0.23008347,-0.17370605,-0.12082291,-0.14784622,-0.06323624,-0.15035248,-0.111953735
p16,-0.9943676,-1.1490479,-0.7982254,-0.4833603,-0.12609863,-0.1435585,-0.28767014,-0.27336884,0.0,-0.28744888,-0.16724396,-0.10796738,-0.17605972,-0.31793594,-0.4278164,-0.3184166,-0.41965103,-0.32055664,-0.12530899,-0.09786987,-0.14434814,-0.17132187,-0.28011322,-0.1986885,-0.29271317,-0.23382187,-0.23025513,-0.17383194,-0.12091446,-0.14795303,-0.06328583,-0.15045929,-0.11203003
p17,-1.000248,-1.0562668,-0.88516617,-0.48366928,-0.1261673,-0.1436348,-0.28783798,-0.27352524,0.0,-0.28762054,-0.1673317,-0.10803223,-0.1761589,-0.31811523,-0.4280815,-0.31860733,-0.41990662,-0.32073593,-0.12537384,-0.09792328,-0.14442062,-0.17141342,-0.28026962,-0.19880295,-0.292881,-0.23395538,-0.23038101,-0.17393112,-0.120975494,-0.14802933,-0.06332016,-0.15054703,-0.112091064
p18,-1.000248,-1.0562668,-0.88516617,-0.48366928,-0.1261673,-0.1436348,-0.28783798,-0.27352524,0.0,-0.28762054,-0.1673317,-0.10803223,-0.1761589,-0.31811523,-0.4280815,-0.31860733,-0.41990662,-0.32073593,-0.12537384,-0.09792328,-0.14442062,-0.17141342,-0.28026962,-0.19880295,-0.292881,-0.23395538,-0.23038101,-0.17393112,-0.120975494,-0.14802933,-0.06332016,-0.15054703,-0.112091064
p19,-1.0654411,-1.1273994,-1.1455956,-0.48477936,-0.12641907,-0.1439209,-0.28841782,-0.27408218,0.0,-0.28821182,-0.16766739,-0.10823822,-0.17651367,-0.31877518,-0.42902756,-0.31927872,-0.42082977,-0.3213997,-0.12562561,-0.09812546,-0.14470673,-0.17175674,-0.28084564,-0.19919205,-0.2934723,-0.2344284,-0.2308464,-0.17428207,-0.12121582,-0.14832306,-0.063446045,-0.15084076,-0.1123085
p20,-1.0466919,-1.1083679,-1.1420364,-0.48457718,-0.12636948,-0.1438675,-0.288311,-0.27397156,0.0,-0.2881012,-0.16760635,-0.10820389,-0.176445,-0.31866074,-0.428854,-0.31914902,-0.42066193,-0.32128143,-0.12557602,-0.09808731,-0.1446495,-0.1716919,-0.28074265,-0.19911957,-0.2933693,-0.23434067,-0.2307663,-0.17421722,-0.12117386,-0.14826584,-0.06341553,-0.15078735,-0.112270355
p21,-0.92895126,-0.963665,-1.0570488,-0.48391724,-0.12622452,-0.14369965,-0.28796387,-0.27365112,0.0,-0.28775406,-0.16740799,-0.108078,-0.1762352,-0.31826782,-0.42829323,-0.31875992,-0.4201126,-0.3208809,-0.12543488,-0.097976685,-0.14448166,-0.17149353,-0.28040695,-0.19889069,-0.29301453,-0.2340622,-0.23048782,-0.17400742,-0.121025085,-0.14809418,-0.06334686,-0.15061188,-0.11213684
p22,-1.0246277,-1.0835762,-1.1073914,-0.48461914,-0.12638092,-0.14387512,-0.28833008,-0.27399826,0.0,-0.2881279,-0.16762161,-0.10821152,-0.17646027,-0.3186798,-0.4288864,-0.31918335,-0.42069244,-0.3213005,-0.12558746,-0.09809494,-0.14466476,-0.17170334,-0.28076935,-0.19913101,-0.29338074,-0.23435593,-0.23077774,-0.17422867,-0.12117767,-0.14827347,-0.06342697,-0.15079117,-0.1122818
p23,-1.0381145,-0.7810135,-0.6254883,-0.4828415,-0.12598419,-0.14342499,-0.2873993,-0.27310944,0.0,-0.28717804,-0.16708755,-0.10786438,-0.17589188,-0.31762695,-0.4273758,-0.3181038,-0.4192238,-0.32024765,-0.12519073,-0.09777832,-0.14421082,-0.17116165,-0.2798462,-0.1985054,-0.2924347,-0.2335968,-0.23004532,-0.17366791,-0.1207962,-0.1478157,-0.06322479,-0.15032196,-0.11192322
p24,-1.0420227,-0.788002,-0.6388588,-0.48291397,-0.12599945,-0.14344025,-0.28743362,-0.27314377,0.0,-0.28722,-0.16711426,-0.10787964,-0.17591476,-0.31767273,-0.42743492,-0.31815338,-0.41928482,-0.3202858,-0.125206,-0.097797394,-0.14422607,-0.17118454,-0.27988434,-0.19852829,-0.29246902,-0.23363113,-0.2300682,-0.17369843,-0.12081528,-0.14782715,-0.06323624,-0.15034103,-0.11193848
p25,-1.0476074,-1.1078949,-1.1287117,-0.48471832,-0.1264,-0.1438942,-0.28838348,-0.27404785,0.0,-0.2881775,-0.1676445,-0.108226776,-0.17649078,-0.31874084,-0.42897606,-0.31923294,-0.42077637,-0.32136536,-0.12560654,-0.0981102,-0.14468765,-0.17173767,-0.28081894,-0.19917297,-0.2934456,-0.2344017,-0.23081589,-0.174263,-0.12120056,-0.14830399,-0.0634346,-0.15082169,-0.11229324
p26,-0.8619232,-0.8667221,-0.88946915,-0.48387527,-0.12620926,-0.14368057,-0.28792953,-0.2736168,0.0,-0.28762436,-0.16738129,-0.1080513,-0.17621613,-0.3182106,-0.42824745,-0.3187294,-0.42006683,-0.32084656,-0.12541962,-0.09795761,-0.14447021,-0.17147446,-0.28037262,-0.1988678,-0.29297256,-0.23400879,-0.23043823,-0.17397308,-0.1210022,-0.14806366,-0.06333542,-0.15058136,-0.11211777
p27,-1.0589733,-1.1175537,-1.1362,-0.48484802,-0.12643433,-0.14393616,-0.28845596,-0.2741089,0.0,-0.28824615,-0.16769028,-0.10825729,-0.17653275,-0.31881714,-0.42908478,-0.31931686,-0.42088318,-0.32143784,-0.12563324,-0.09813309,-0.1447258,-0.17177582,-0.28089142,-0.19921112,-0.29351044,-0.23445892,-0.23087311,-0.17430115,-0.121227264,-0.14833832,-0.06344986,-0.15085602,-0.11231995
p28,-1.1166496,-0.8217201,-0.66558456,-0.48301315,-0.12601852,-0.14346695,-0.28749084,-0.273201,0.0,-0.2872734,-0.16713715,-0.10789871,-0.1759491,-0.31773758,-0.42752266,-0.3182068,-0.41936493,-0.32034683,-0.12522888,-0.09781265,-0.14424896,-0.17122269,-0.27993774,-0.19856644,-0.29252625,-0.23366928,-0.23011398,-0.17372513,-0.12083435,-0.14785767,-0.06324768,-0.15036774,-0.111961365
p29,-0.78736305,-0.7913971,-0.80506897,-0.48420715,-0.12628174,-0.14377213,-0.288105,-0.27378082,0.0,-0.28780365,-0.16748047,-0.108119965,-0.17631912,-0.31840897,-0.42852783,-0.31891632,-0.42033768,-0.3210411,-0.1254921,-0.09802246,-0.14455032,-0.17157364,-0.28054428,-0.19897842,-0.29314804,-0.23414612,-0.23057556,-0.17407608,-0.12107468,-0.1481514,-0.06337738,-0.1506691,-0.11218262
p30,-0.78736305,-0.7913971,-0.80506897,-0.48420715,-0.12628174,-0.14377213,-0.288105,-0.27378082,0.0,-0.28780365,-0.16748047,-0.108119965,-0.17631912,-0.31840897,-0.42852783,-0.31891632,-0.42033768,-0.3210411,-0.1254921,-0.09802246,-0.14455032,-0.17157364,-0.28054428,-0.19897842,-0.29314804,-0.23414612,-0.23057556,-0.17407608,-0.12107468,-0.1481514,-0.06337738,-0.1506691,-0.11218262
p31,-0.990221,-1.0409279,-1.0561523,-0.48476028,-0.12641144,-0.14390564,-0.28840256,-0.27407074,0.0,-0.28820038,-0.16765594,-0.10823822,-0.17649841,-0.31875992,-0.42900848,-0.31926346,-0.4208107,-0.32138443,-0.12561417,-0.09812164,-0.1446991,-0.1717453,-0.280838,-0.19918442,-0.29346085,-0.23441696,-0.23083878,-0.17427444,-0.12121582,-0.14831543,-0.06344223,-0.15082932,-0.11230469
p32,-0.9454613,-0.9914551,-1.0041924,-0.48469162,-0.12639618,-0.14389038,-0.28837585,-0.2740364,0.0,-0.28816223,-0.16763687,-0.10822296,-0.17647934,-0.31872177,-0.42894936,-0.3192253,-0.42075348,-0.32134628,-0.12560654,-0.098098755,-0.14468002,-0.17172623,-0.2808075,-0.19916534,-0.2934227,-0.23439026,-0.23080444,-0.17425156,-0.12119675,-0.14830017,-0.0634346,-0.15081024,-0.11228943
p33,-0.8089447,-0.8386917,-0.8420372,-0.48460007,-0.1263771,-0.1438713,-0.28832245,-0.27398682,0.0,-0.28811264,-0.1676178,-0.1082077,-0.17644882,-0.31866837,-0.42887497,-0.3191681,-0.42067719,-0.32128906,-0.12558746,-0.098091125,-0.14466095,-0.17170334,-0.2807579,-0.19913101,-0.2933731,-0.23434448,-0.23077393,-0.17422867,-0.12117767,-0.14827347,-0.06342697,-0.15079117,-0.11227417
p34,-0.00082969666,-0.000831604,-0.0008354187,-0.5822296,-0.15845108,-0.18014526,-0.3699875,-0.35176086,0.0,-0.38648224,-0.21743774,-0.14085388,-0.22315598,-0.42207336,-1.9712791,-0.40925598,-0.579998,-0.4144554,-0.15729523,-0.12362671,-0.18179703,-0.2158432,-0.3590889,-0.25204468,-0.3793106,-0.31153107,-0.3040886,-0.22842407,-0.15671921,-0.19153976,-0.08205414,-0.19462585,-0.14495087
p35,-0.0008983612,-0.00089645386,-0.00090408325,-0.61354065,-0.22224045,-0.25033188,-0.46974182,-0.43903732,0.0,-0.40989685,-0.23027802,-0.14915466,-0.3117981,-0.46837997,-0.59799576,-1.1953278,-0.58543015,-0.50141144,-0.2204094,-0.17834854,-0.2536354,-0.29545212,-0.5471115,-0.33961487,-0.45554733,-0.33002472,-0.3222046,-0.2419548,-0.16594696,-0.2028389,-0.0868721,-0.2060852,-0.1534729
p36,-0.0009899139,-0.0009918213,-0.000995636,-0.6901665,-0.20885468,-0.2364502,-0.4701805,-0.44116974,0.0,-0.4407692,-0.24696732,-0.15999985,-0.29441452,-0.4959526,-0.6705055,-0.7198715,-0.65420914,-0.51597214,-0.20721054,-0.16503525,-0.23923874,-0.28160477,-0.5048027,-0.326931,-0.46592712,-0.35465622,-0.34592438,-0.25969696,-0.17792511,-0.21747208,-0.09314728,-0.22092438,-0.16451645
p37,-0.0011806488,-0.0011787415,-0.0011863708,-0.8235321,-0.1900444,-0.21586227,-0.444561,-0.42076874,0.0,-0.44895935,-0.25141907,-0.16289902,-0.26815414,-0.4984398,-0.7072849,-0.50422287,-0.68831635,-0.50110626,-0.18860626,-0.1486969,-0.21809769,-0.25860214,-0.43663406,-0.30217743,-0.45178223,-0.3612442,-0.3522377,-0.26443863,-0.18111801,-0.22137833,-0.0948143,-0.22488403,-0.16746521
p38,-0.0010414124,-0.0010414124,-0.0010490417,-0.7207985,-0.1892662,-0.21502304,-0.44339752,-0.4201851,0.0,-0.45313263,-0.25364685,-0.16434479,-0.26708603,-0.5005722,-0.8270645,-0.49840164,-0.6974869,-0.49933624,-0.18784714,-0.14801788,-0.21722794,-0.25767517,-0.4335556,-0.3012085,-0.45191956,-0.36457443,-0.3554268,-0.2668152,-0.18272018,-0.22333145,-0.095653534,-0.22685623,-0.16893005
p39,-0.0010280609,-0.0010299683,-0.001033783,-0.72652435,-0.19003677,-0.21588898,-0.4451294,-0.42161942,0.0,-0.4528618,-0.25349426,-0.16424942,-0.26818466,-0.5013199,-0.71858406,-0.50148773,-0.6989136,-0.50162125,-0.18861389,-0.14864731,-0.21812057,-0.2586937,-0.4357376,-0.3023758,-0.45319366,-0.36434555,-0.35521698,-0.26665497,-0.18261337,-0.22320557,-0.09560013,-0.22673035,-0.1688385
p40,-0.0010643005,-0.0010643005,-0.0010681152,-0.7384796,-0.19220734,-0.21833038,-0.4501915,-0.42616653,0.0,-0.45567322,-0.25502396,-0.16523743,-0.27126312,-0.50567245,-0.7194977,-0.50860214,-0.7000313,-0.5077591,-0.19075775,-0.15037537,-0.22060013,-0.2616005,-0.44129944,-0.30577087,-0.45778656,-0.36658096,-0.3573799,-0.2682762,-0.18370819,-0.22453308,-0.0961647,-0.22808075,-0.16984558
p41,-0.0010032654,-0.0010032654,-0.0010070801,-0.70243454,-0.1863594,-0.21175003,-0.43673325,-0.4143982,0.0,-0.4514656,-0.25274277,-0.16376495,-0.26294327,-0.49608612,-0.76465034,-0.4879837,-0.6941452,-0.49095917,-0.18496704,-0.14567566,-0.21390915,-0.25380325,-0.4257698,-0.2967186,-0.44636917,-0.36326218,-0.35414124,-0.26586914,-0.1820755,-0.22254181,-0.09531021,-0.22605515,-0.16833878
p42,-0.0009994507,-0.0009994507,-0.0010032654,-0.7028122,-0.19883347,-0.22597504,-0.47216797,-0.44545746,0.0,-0.45990753,-0.25727463,-0.16669083,-0.2808838,-0.52599716,-0.6863823,-0.50837326,-0.670578,-0.54299927,-0.19733047,-0.15531921,-0.22834015,-0.27116394,-0.45272827,-0.31755066,-0.4779129,-0.36982346,-0.3605919,-0.2706604,-0.185318,-0.22651291,-0.097011566,-0.23008728,-0.17133331
p43,-0.0009937286,-0.0009918213,-0.000995636,-0.70482254,-0.20365524,-0.23146057,-0.48578644,-0.45673752,0.0,-0.46483612,-0.25995636,-0.16842651,-0.28783035,-0.53349304,-0.6881275,-0.51834106,-0.67268753,-0.5648651,-0.2021141,-0.15909195,-0.23392105,-0.27781677,-0.46411896,-0.32546234,-0.48877335,-0.37374115,-0.36439514,-0.27350616,-0.1872406,-0.22886658,-0.09801483,-0.23246765,-0.17311478
p44,-0.0009727478,-0.0009689331,-0.0009765625,-0.6891136,-0.2074852,-0.2358818,-0.50006866,-0.46767807,0.0,-0.46434402,-0.25966644,-0.16824341,-0.29340744,-0.53831863,-0.6736603,-0.5168495,-0.6595459,-0.5941849,-0.20591354,-0.16193008,-0.2383995,-0.28334808,-0.4712715,-0.33229065,-0.49890137,-0.37329483,-0.3639984,-0.27319717,-0.18703842,-0.22862244,-0.09790802,-0.23221588,-0.17292023
p45,-0.0009613037,-0.000957489,-0.0009651184,-0.6599846,-0.21751022,-0.24740982,-0.53751373,-0.49425125,0.0,-0.46167374,-0.25821304,-0.16728592,-0.30801773,-0.54377747,-0.64660454,-0.5181503,-0.63474655,-0.6759529,-0.21585083,-0.16946793,-0.25009537,-0.2976303,-0.49319458,-0.3497162,-0.5217285,-0.37106705,-0.36193466,-0.27162552,-0.18598557,-0.22734833,-0.097351074,-0.23093033,-0.17196274
p46,-0.0009613037,-0.0009613037,-0.0009689331,-0.6762924,-0.20112991,-0.22870636,-0.48146057,-0.4545021,0.0,-0.46138,-0.25802612,-0.16716766,-0.2842903,-0.5411339,-0.66189766,-0.5013275,-0.64855194,-0.55662155,-0.19961548,-0.15689087,-0.23108673,-0.2747574,-0.4543457,-0.32221222,-0.4884758,-0.37088394,-0.36169052,-0.27145004,-0.18585205,-0.22716522,-0.09728241,-0.23074722,-0.17182922
p47,-0.0008773804,-0.0008735657,-0.00088119507,-0.6158562,-0.22864151,-0.26016998,-0.58374023,-0.5213089,0.0,-0.4499588,-0.25193787,-0.16318893,-0.32435226,-0.5405731,-0.604887,-0.5162926,-0.59571075,-0.73667526,-0.22688293,-0.17790985,-0.26309204,-0.3133316,-0.5240898,-0.36870956,-0.5414276,-0.36167526,-0.35295868,-0.26491165,-0.18148422,-0.22184372,-0.094997406,-0.22535324,-0.16780853
p48,-0.0009613037,-0.0009613037,-0.0009651184,-0.6754303,-0.20674515,-0.23509979,-0.49967957,-0.46762848,0.0,-0.4618988,-0.2583351,-0.16736984,-0.29240417,-0.5400467,-0.6609688,-0.5094986,-0.6478081,-0.5979271,-0.20518112,-0.16123962,-0.2375946,-0.28253174,-0.46777344,-0.3314972,-0.49928284,-0.37130737,-0.36210632,-0.2717743,-0.18606949,-0.22743988,-0.097400665,-0.23102951,-0.17203522
p49,-0.00091552734,-0.00091171265,-0.00092315674,-0.6400986,-0.17814636,-0.20255661,-0.41843414,-0.39933014,0.0,-0.45645523,-0.2553177,-0.16545486,-0.2512703,-0.49054718,-0.6632786,-0.45467758,-0.668663,-0.46668243,-0.1768341,-0.13898468,-0.20451736,-0.2429924,-0.40226364,-0.2843094,-0.4332199,-0.36722183,-0.35788727,-0.26864624,-0.183918,-0.22478485,-0.096279144,-0.22833252,-0.17002869
p50,-0.000831604,-0.000831604,-0.0008392334,-0.57982254,-0.22170639,-0.25254822,-0.5697937,-0.51423645,0.0,-0.43341064,-0.24297333,-0.1573677,-0.31450272,-0.52669144,-0.5703316,-0.4879532,-0.5626373,-1.1173439,-0.22002792,-0.17198563,-0.25525665,-0.30477905,-0.49286652,-0.35948944,-0.53473663,-0.3484459,-0.34023666,-0.2553711,-0.17504883,-0.21398163,-0.09162903,-0.21738815,-0.1618805
p51,-0.00078582764,-0.00078582764,-0.00078964233,-0.5593529,-0.2140503,-0.24385452,-0.548996,-0.49588394,0.0,-0.4185295,-0.23490143,-0.15213013,-0.30348969,-0.5081787,-0.55023193,-0.47075272,-0.54288864,-1.0674248,-0.2124443,-0.16600037,-0.24641037,-0.29423523,-0.47525024,-0.34690475,-0.5158005,-0.3366089,-0.32878494,-0.2468071,-0.1692543,-0.20689774,-0.08860779,-0.21020508,-0.15653229
p52,-0.00078582764,-0.00078582764,-0.00078964233,-0.5593529,-0.2140503,-0.24385452,-0.548996,-0.49588394,0.0,-0.4185295,-0.23490143,-0.15213013,-0.30348969,-0.5081787,-0.55023193,-0.47075272,-0.54288864,-1.0674248,-0.2124443,-0.16600037,-0.24641037,-0.29423523,-0.47525024,-0.34690475,-0.5158005,-0.3366089,-0.32878494,-0.2468071,-0.1692543,-0.20689774,-0.08860779,-0.21020508,-0.15653229
p53,-0.00061416626,-0.00061798096,-0.00061798096,-0.44247818,-0.14848328,-0.16926956,-0.3519554,-0.3430214,0.0,-0.54956436,-0.51431274,-0.27330017,-0.20915985,-0.46396255,-0.44742584,-0.34298706,-0.45003128,-0.38255692,-0.1474495,-0.11493683,-0.1706047,-0.20375824,-0.32091522,-0.23915863,-0.38211823,-0.44205475,-0.90356827,-0.48532104,-0.33140564,-0.4284706,-0.16998291,-0.4446869,-0.32844543
p54,-0.0005016327,-0.00050354004,-0.00051116943,-0.35757446,-0.121730804,-0.13886261,-0.2868042,-0.27975845,0.0,-0.4322014,-0.88471985,-0.34350586,-0.17105865,-0.37410355,-0.3614769,-0.27882767,-0.36367416,-0.310997,-0.12092209,-0.09405899,-0.13978577,-0.16701508,-0.26140976,-0.19567108,-0.3111992,-0.39154816,-0.5675926,-0.60383224,-0.4494667,-0.61110306,-0.22570038,-0.64940643,-0.47388077
p55,-0.00046348572,-0.00045776367,-0.00046539307,-0.34794235,-0.11867905,-0.13539124,-0.27935028,-0.2725067,0.0,-0.41919708,-0.7113457,-0.34362793,-0.16670609,-0.36376953,-0.35173988,-0.27152252,-0.35387802,-0.30282974,-0.11789703,-0.091674805,-0.13627625,-0.16281128,-0.2546196,-0.19070053,-0.30306625,-0.38726807,-0.54141617,-0.70106506,-0.4514122,-0.62047577,-0.2222023,-0.6236038,-0.4496498
p56,-0.00043678284,-0.0004348755,-0.0004386902,-0.32891846,-0.11262131,-0.12849045,-0.26467514,-0.25824738,0.0,-0.39720535,-0.6897011,-0.35865402,-0.1580925,-0.34373093,-0.33247566,-0.25708008,-0.33451462,-0.28674316,-0.111881256,-0.086948395,-0.12929153,-0.1544838,-0.24121094,-0.18086624,-0.2871132,-0.36450958,-0.5146599,-0.56559753,-0.47809982,-0.64836884,-0.24155045,-0.7642441,-0.5309143
p57,-0.0007534027,-0.00075149536,-0.00075912476,-0.5636749,-0.1846466,-0.21033478,-0.44036865,-0.42845154,0.0,-0.5755272,-0.3189354,-0.20685577,-0.2607994,-0.58403015,-0.5712185,-0.43239212,-0.57452774,-0.48034286,-0.18331146,-0.14326477,-0.21228027,-0.253376,-0.40263367,-0.29795837,-0.4774742,-0.4619484,-0.44890213,-0.33670425,-0.22950363,-0.28048325,-0.12013245,-0.28476334,-0.21203995
p58,-0.00048446655,-0.00048828125,-0.00048828125,-0.35263824,-0.12015915,-0.1370697,-0.2829857,-0.27604675,0.0,-0.42607498,-0.83132935,-0.34427643,-0.16882324,-0.36886978,-0.35648155,-0.275074,-0.35865784,-0.30681992,-0.11936188,-0.09283066,-0.13797379,-0.16485214,-0.25792694,-0.19311905,-0.30704498,-0.387455,-0.55719376,-0.60934067,-0.4519577,-0.617424,-0.22589111,-0.6516609,-0.47206116
p59,-0.0004787445,-0.00047683716,-0.00048446655,-0.34679413,-0.11829376,-0.13494873,-0.2784691,-0.27165222,0.0,-0.4189148,-0.7713814,-0.34252548,-0.16616821,-0.36268616,-0.35057068,-0.27062988,-0.35271454,-0.30186844,-0.117507935,-0.09138107,-0.13582993,-0.16229248,-0.25379944,-0.19009018,-0.30213928,-0.3821907,-0.5457077,-0.6120453,-0.4508171,-0.6189728,-0.22423172,-0.64681625,-0.465477
