pipe,start,end,length_m,zone,start_x,start_y,end_x,end_y,diameter_mm
p41,n63,n65,31.0239,9,761.12,1142.36,760.67,1111.34,100.0
p42,n72,n73,21.0441,9,855.04,1060.67,856.14,1039.65,100.0
p43,n73,n74,23.5016,9,856.14,1039.65,857.37,1016.18,100.0
p44,n74,n76,67.8761,9,857.37,1016.18,861.89,948.46,100.0
p45,n76,n78,70.0781,7,861.89,948.46,866.29,878.52,100.0
p46,n77,n79,25.3446,7,954.16,1031.85,946.9,1007.57,100.0
p47,n78,n80,47.5553,7,866.29,878.52,869.08,831.04,100.0
p48,n79,n81,53.1109,7,946.9,1007.57,943.91,956.0,100.0
p49,n85,n86,24.2068,7,1142.52,1079.08,1161.0,1063.44,200.0
p50,n89,n91,50.8867,7,1097.78,876.0,1140.09,898.21,100.0
p51,n91,n92,24.2356,7,1140.09,898.21,1163.25,905.36,100.0
p52,n91,n88,47.5179,7,1140.09,898.21,1126.66,943.79,100.0
p53,n238,n235,27.4204,1,1925.46,770.1,1898.19,772.99,100.0
p54,n278,n279,12.2248,1,2196.79,519.11,2196.9,506.88,100.0
p55,n267,n269,33.1081,1,2167.05,677.06,2200.09,674.83,100.0
p56,n310,n312,12.2948,6,2476.94,457.71,2476.35,445.43,100.0
p57,n218,n219,51.5234,5,1562.62,897.08,1558.86,845.7,150.0
p58,n277,n278,16.8101,1,2197.04,535.91,2196.79,519.11,100.0
p59,n268,n273,57.0476,1,2141.65,606.4,2198.62,603.33,100.0
p60,n309,n308,19.5812,6,2478.53,499.12,2479.41,518.68,100.0
p61,n280,n286,54.3635,12,2371.48,789.98,2425.74,786.58,100.0
p62,n275,n280,37.5392,12,2334.02,792.33,2371.48,789.98,100.0
p63,n280,n283,65.7292,12,2371.48,789.98,2367.0,724.4,100.0
p64,n293,n294,6.6814,6,2405.76,668.93,2412.43,668.54,100.0
p65,n287,n291,30.0446,12,2538.56,967.69,2541.76,937.82,100.0
p66,n245,n240,42.5781,1,2046.96,894.6,2004.39,894.55,100.0
p67,n250,n249,5.017,1,2103.63,889.65,2103.47,894.66,100.0
p68,n258,n259,10.1846,1,2055.01,692.25,2055.32,682.07,100.0
p69,n314,n316,22.3779,12,2750.64,847.75,2754.25,825.67,100.0
p70,n302,n297,47.7865,6,2411.1,516.74,2363.37,519.2,100.0
p71,n328,n327,22.9926,6,2769.11,427.91,2747.2,434.88,100.0
p72,n242,n246,43.0228,5,1768.52,456.83,1771.99,413.95,150.0
p73,n236,n242,42.5596,5,1765.63,499.29,1768.52,456.83,150.0
p74,n233,n236,57.4031,5,1754.99,555.7,1765.63,499.29,150.0
p75,n231,n233,22.0221,5,1746.95,576.21,1754.99,555.7,150.0
p76,n227,n231,38.0635,5,1732.87,611.57,1746.95,576.21,150.0
p77,n302,n301,5.4292,6,2411.1,516.74,2411.41,522.16,63.0
p78,n254,n253,9.2131,1,1848.77,391.16,1847.97,400.33,63.0
p79,n222,n221,4.5125,5,1641.48,840.68,1641.78,845.18,150.0
p80,n235,n239,55.3305,1,1898.19,772.99,1895.25,717.74,100.0
p81,n126,n121,60.0801,8,203.17,77.03,194.1,136.42,75.0
p82,n121,n118,15.9998,8,194.1,136.42,182.34,147.27,100.0
p83,n177,n175,13.3385,4,796.45,254.0,783.83,249.68,100.0
p84,n162,n159,22.9046,7,934.43,751.2,912.7,758.45,100.0
p85,n193,n190,16.4364,3,1088.53,487.69,1072.1,487.17,100.0
p86,n150,n153,23.6026,4,779.88,662.72,803.43,664.31,63.0
p87,n156,n157,38.8514,4,682.2,421.82,713.2,445.23,150.0
p88,n168,n171,22.9683,4,872.72,528.28,893.49,538.09,150.0
p89,n141,n133,65.8594,4,686.52,649.74,623.81,629.64,150.0
p90,n122,n120,18.0551,10,441.66,560.52,424.38,555.28,150.0
p91,n145,n146,5.3428,4,698.87,585.63,699.42,580.32,150.0
p92,n109,n107,7.0501,10,314.52,498.03,314.25,505.08,160.0
p93,n189,n188,19.7515,4,956.08,289.28,936.66,285.66,160.0
p94,n194,n193,19.3019,3,1107.83,487.78,1088.53,487.69,100.0
p95,n94,n97,51.7831,10,280.55,763.35,331.42,760.19,100.0
p96,n96,n99,63.2939,10,215.29,564.74,208.68,502.81,100.0
p97,n99,n102,66.9802,10,208.68,502.81,275.55,502.64,100.0
p98,n101,n103,22.7331,10,290.47,557.11,313.2,556.67,100.0
p99,n102,n106,60.7132,10,275.55,502.64,274.45,441.94,100.0
p100,n102,n107,39.3009,10,275.55,502.64,314.25,505.08,100.0
p101,n103,n107,51.6094,10,313.2,556.67,314.25,505.08,160.0
p102,n104,n114,69.3344,8,171.01,279.19,240.32,280.96,100.0
p103,n104,n108,47.1926,8,171.01,279.19,163.99,239.76,100.0
p104,n105,n113,52.1526,10,332.64,554.96,384.78,555.06,150.0
p105,n110,n115,50.1743,10,415.72,658.53,465.63,663.63,100.0
p106,n110,n112,20.2696,10,415.72,658.53,417.4,638.33,100.0
p107,n113,n120,39.6039,10,384.78,555.06,424.38,555.28,150.0
p108,n114,n116,17.9183,8,240.32,280.96,256.48,288.69,100.0
p109,n114,n119,25.9671,8,240.32,280.96,246.15,255.65,100.0
p110,n115,n111,69.0704,10,465.63,663.63,458.67,732.35,200.0
p111,n116,n125,67.3462,8,256.48,288.69,323.81,290.36,100.0
p112,n127,n131,42.3661,8,270.57,166.58,283.28,126.16,63.0
p113,n134,n137,59.1164,8,382.8,206.77,430.85,241.21,150.0
p114,n136,n147,73.5155,8,513.76,388.27,556.44,328.41,100.0
p115,n138,n143,59.6311,4,601.12,532.38,635.34,483.62,100.0
p116,n139,n135,35.1911,8,373.51,131.03,362.92,164.59,100.0
p117,n140,n144,60.9268,7,768.02,804.56,827.24,810.58,100.0
p118,n141,n145,65.2915,4,686.52,649.74,698.87,585.63,150.0
p119,n144,n155,58.0354,7,827.24,810.58,877.85,782.22,100.0
p120,n146,n149,46.7217,4,699.42,580.32,704.16,533.84,150.0
p121,n147,n148,39.1766,4,556.44,328.41,588.0,351.62,150.0
p122,n148,n151,37.0322,4,588.0,351.62,617.83,373.57,150.0
p123,n155,n159,44.4612,7,877.85,782.22,912.7,758.45,100.0
p124,n157,n160,50.3933,4,713.2,445.23,756.81,470.46,150.0
p125,n160,n164,49.2863,4,756.81,470.46,800.83,492.62,150.0
p126,n161,n163,35.6826,4,843.12,600.12,869.24,622.9,100.0
p127,n162,n169,61.3236,7,934.43,751.2,993.5,734.78,100.0
p128,n166,n168,15.6697,4,858.56,521.58,872.72,528.28,150.0
p129,n167,n170,21.5927,4,920.7,627.75,942.22,629.54,100.0
p130,n169,n176,74.8142,7,993.5,734.78,1067.85,732.35,100.0
p131,n170,n174,64.0853,4,942.22,629.54,953.71,566.54,100.0
p132,n171,n173,39.144,4,893.49,538.09,928.9,554.77,150.0
p133,n172,n175,52.9645,4,733.72,232.53,783.83,249.68,100.0
p134,n173,n174,27.4612,4,928.9,554.77,953.71,566.54,150.0
p135,n177,n179,40.5201,4,796.45,254.0,835.46,264.94,100.0
p136,n178,n180,34.5469,3,1003.16,589.53,1034.08,604.93,100.0
p137,n183,n185,36.7448,4,866.5,274.35,898.57,277.14,160.0
p138,n180,n186,59.382,3,1034.08,604.93,1090.25,587.4,100.0
p139,n180,n181,33.9307,3,1034.08,604.93,1056.46,630.41,100.0
p140,n186,n192,47.4653,3,1090.25,587.4,1137.55,583.51,100.0
p141,n189,n195,70.2576,4,956.08,289.28,1025.24,301.64,160.0
p142,n192,n196,55.1296,3,1137.55,583.51,1192.63,581.02,100.0
p143,n197,n199,72.4956,3,1113.87,317.46,1185.25,330.18,160.0
p144,n201,n202,28.0628,5,1506.54,582.04,1508.93,554.08,100.0
p145,n205,n206,38.1162,5,1612.65,644.21,1636.63,668.44,100.0
p146,n205,n208,54.0342,5,1612.65,644.21,1629.01,592.81,100.0
p147,n217,n215,66.2774,5,1704.52,382.32,1638.34,378.76,100.0
p148,n209,n210,47.8699,5,1632.35,565.57,1636.29,517.86,100.0
p149,n209,n211,40.1662,5,1632.35,565.57,1672.42,568.34,100.0
p150,n210,n213,63.0672,5,1636.29,517.86,1699.15,522.98,100.0
p151,n212,n216,63.0563,5,1638.94,452.0,1701.69,458.21,100.0
p152,n212,n215,74.4208,5,1638.94,452.0,1638.34,378.76,100.0
p153,n221,n223,48.5425,5,1641.78,845.18,1690.26,842.71,100.0
p154,n223,n224,60.488,5,1690.26,842.71,1691.99,782.26,100.0
p155,n226,n227,23.4907,5,1712.94,623.74,1732.87,611.57,150.0
p156,n228,n232,60.668,1,1904.17,894.73,1901.18,834.14,100.0
p157,n231,n234,27.7914,5,1746.95,576.21,1774.41,580.5,100.0
p158,n232,n235,61.2183,1,1901.18,834.14,1898.19,772.99,100.0
p159,n233,n237,39.5957,5,1754.99,555.7,1793.43,546.2,100.0
p160,n236,n243,38.8919,5,1765.63,499.29,1797.82,479.88,100.0
p161,n239,n241,34.4356,1,1895.25,717.74,1893.1,683.37,100.0
p162,n242,n247,43.5216,5,1768.52,456.83,1805.93,436.45,100.0
p163,n244,n251,63.9285,1,1889.11,627.98,1952.82,622.69,150.0
p164,n248,n249,51.2817,1,2101.21,945.9,2103.47,894.66,100.0
p165,n250,n257,59.3324,1,2103.63,889.65,2162.96,890.35,100.0
p166,n252,n258,56.564,1,1998.45,693.21,2055.01,692.25,100.0
p167,n260,n256,23.5371,1,1930.12,446.34,1906.63,447.86,100.0
p168,n262,n267,49.0169,1,2118.18,680.81,2167.05,677.06,100.0
p169,n269,n273,71.5203,1,2200.09,674.83,2198.62,603.33,100.0
p170,n270,n276,67.6756,1,2093.38,482.16,2160.98,478.77,100.0
p171,n271,n274,49.2362,12,2393.77,985.03,2409.17,938.26,100.0
p172,n274,n281,55.4012,12,2409.17,938.26,2426.89,885.77,100.0
p173,n281,n282,53.2009,12,2426.89,885.77,2429.12,832.94,100.0
p174,n282,n286,46.4828,12,2429.12,832.94,2425.74,786.58,100.0
p175,n283,n289,41.9889,12,2367.0,724.4,2408.92,721.88,100.0
p176,n284,n293,58.7628,6,2347.17,665.86,2405.76,668.93,100.0
p177,n284,n290,72.2297,6,2347.17,665.86,2342.02,593.81,100.0
p178,n289,n293,53.0485,6,2408.92,721.88,2405.76,668.93,100.0
p179,n291,n292,19.8689,12,2541.76,937.82,2544.48,918.13,100.0
p180,n292,n295,34.2525,12,2544.48,918.13,2547.28,884.0,100.0
p181,n292,n296,32.9042,12,2544.48,918.13,2576.89,923.8,100.0
p182,n298,n300,37.7973,12,2682.87,1050.98,2719.49,1060.34,200.0
p183,n299,n305,62.7307,6,2487.38,664.19,2483.71,601.56,100.0
p184,n301,n308,68.0909,6,2411.41,522.16,2479.41,518.68,100.0
p185,n305,n306,55.5132,6,2483.71,601.56,2480.63,546.14,100.0
p186,n311,n316,61.1814,12,2693.1,823.77,2754.25,825.67,100.0
p187,n312,n313,54.0415,6,2476.35,445.43,2483.8,395.24,100.0
p188,n314,n319,61.1475,12,2750.64,847.75,2811.17,856.43,100.0
p189,n316,n320,55.1111,12,2754.25,825.67,2762.66,771.21,100.0
p190,n317,n321,40.8704,6,2555.67,439.01,2560.37,398.41,100.0
p191,n322,n323,54.231,6,2764.13,701.69,2768.23,647.61,100.0
p192,n325,n326,39.7874,6,2772.13,534.16,2763.89,495.26,100.0
p193,n326,n327,62.6495,6,2763.89,495.26,2747.2,434.88,100.0
p194,n328,n331,54.3392,6,2769.11,427.91,2820.89,411.44,100.0
p195,n246,n217,74.5207,5,1771.99,413.95,1704.52,382.32,100.0
p196,n95,n98,55.8465,10,226.16,644.61,281.88,640.91,100.0
p197,n122,n124,33.8464,10,441.66,560.52,474.04,570.36,150.0
p198,n130,n133,69.1173,10,557.63,609.69,623.81,629.64,150.0
p199,n137,n142,74.0429,8,430.85,241.21,491.67,283.43,150.0
p200,n154,n156,37.7536,4,652.08,399.06,682.2,421.82,150.0
p201,n163,n167,51.6878,4,869.24,622.9,920.7,627.75,100.0
p202,n164,n166,64.5793,4,800.83,492.62,858.56,521.58,150.0
p203,n174,n178,54.529,4,953.71,566.54,1003.16,589.53,150.0
p204,n179,n183,32.4311,4,835.46,264.94,866.5,274.35,100.0
p205,n181,n182,34.7762,7,1056.46,630.41,1077.3,658.25,100.0
p206,n185,n188,39.046,4,898.57,277.14,936.66,285.66,160.0
p207,n208,n209,27.4545,5,1629.01,592.81,1632.35,565.57,100.0
p208,n221,n220,69.3527,5,1641.78,845.18,1646.61,914.36,150.0
p209,n241,n244,55.53,1,1893.1,683.37,1889.11,627.98,100.0
p210,n245,n249,56.5037,1,2046.96,894.6,2103.47,894.66,100.0
p211,n251,n255,30.3174,1,1952.82,622.69,1982.68,617.48,150.0
p212,n260,n261,52.1305,1,1930.12,446.34,1925.52,395.4,100.0
p213,n263,n267,60.9402,1,2168.95,737.97,2167.05,677.06,100.0
p214,n264,n266,25.095,1,2080.64,583.4,2101.07,568.83,150.0
p215,n273,n277,67.4312,1,2198.62,603.33,2197.04,535.91,100.0
p216,n304,n307,42.8233,12,2673.29,940.08,2687.99,900.08,100.0
p217,n306,n308,27.4846,6,2480.63,546.14,2479.41,518.68,100.0
p218,n309,n310,41.4415,6,2478.53,499.12,2476.94,457.71,100.0
p219,n315,n317,54.9136,6,2557.96,493.87,2555.67,439.01,100.0
p220,n320,n322,69.6172,12,2762.66,771.21,2764.13,701.69,100.0
p221,n323,n324,65.9838,6,2768.23,647.61,2773.28,581.82,100.0
p222,n324,n325,47.8129,6,2773.28,581.82,2772.13,534.16,100.0
p223,n103,n105,19.5107,10,313.2,556.67,332.64,554.96,150.0
p224,n136,n334,35.8554,8,513.76,388.27,536.59,415.93,100.0
p225,n334,n333,40.9309,4,536.59,415.93,569.87,439.74,100.0
p226,n332,n143,37.6644,4,603.95,462.8,635.34,483.62,100.0
p228,n130,n128,46.7558,10,557.63,609.69,515.67,589.07,150.0
p229,n129,n69,59.6365,10,659.8,795.05,674.2,852.92,100.0
p230,n67,n70,73.0176,9,719.53,990.91,716.36,917.96,100.0
p231,n144,n80,46.5731,7,827.24,810.58,869.08,831.04,100.0
p232,n184,n191,74.298,7,1130.99,718.1,1204.59,707.94,100.0
p233,n152,n158,52.2341,8,520.55,183.11,571.03,196.53,100.0
p234,n124,n128,45.6381,10,474.04,570.36,515.67,589.07,150.0
p236,n210,n212,65.9148,5,1636.29,517.86,1638.94,452.0,100.0
p237,n341,n198,61.9464,5,1391.36,762.78,1395.96,701.0,100.0
p238,n151,n154,42.6918,4,617.83,373.57,652.08,399.06,150.0
p240,n343,n44,23.9926,2,548.48,1153.26,526.16,1162.06,200.0
p241,n5,n8,52.157,2,158.93,1233.34,162.65,1181.32,100.0
p242,n8,n11,62.8657,2,162.65,1181.32,167.14,1118.61,100.0
p243,n11,n13,58.9374,2,167.14,1118.61,170.68,1059.78,100.0
p244,n13,n17,72.0893,2,170.68,1059.78,177.12,987.98,100.0
p245,n17,n21,73.4228,2,177.12,987.98,181.22,914.67,100.0
p246,n10,n344,66.1972,11,361.45,1475.42,353.14,1409.75,100.0
p247,n344,n15,62.8912,11,353.14,1409.75,344.84,1347.41,100.0
p248,n24,n346,56.5717,2,393.3,1207.5,447.73,1192.11,100.0
p249,n345,n29,60.1765,11,424.85,1329.87,482.97,1314.28,100.0
p250,n19,n345,63.0229,11,439.91,1391.07,424.85,1329.87,100.0
p251,n23,n31,48.454,2,314.66,1113.15,361.51,1100.77,100.0
p252,n20,n23,61.1031,2,325.78,1173.23,314.66,1113.15,100.0
p253,n1,n347,68.097,11,138.22,1549.64,135.02,1617.66,100.0
p254,n347,n348,45.4723,11,135.02,1617.66,179.23,1607.01,100.0
p255,n348,n349,50.5431,11,179.23,1607.01,227.11,1590.82,100.0
p256,n349,n350,50.0042,11,227.11,1590.82,275.12,1576.83,100.0
p257,n350,n351,45.6975,11,275.12,1576.83,318.71,1563.11,100.0
p258,n351,n7,54.9718,11,318.71,1563.11,369.97,1543.26,100.0
p259,n2,n352,45.9778,11,274.23,1504.56,317.84,1489.99,100.0
p260,n352,n10,45.9758,11,317.84,1489.99,361.45,1475.42,100.0
p261,n3,n353,47.9576,11,271.28,1480.96,263.42,1433.65,100.0
p262,n353,n354,46.1673,11,263.42,1433.65,308.0,1421.64,100.0
p263,n354,n344,46.6814,11,308.0,1421.64,353.14,1409.75,100.0
p264,n5,n355,58.9057,2,158.93,1233.34,217.79,1235.65,100.0
p265,n355,n356,47.8409,2,217.79,1235.65,265.51,1239.01,100.0
p266,n356,n12,42.6386,11,265.51,1239.01,271.09,1281.28,100.0
p267,n6,n357,44.7387,11,261.33,1361.98,305.24,1353.42,100.0
p268,n357,n14,74.2158,11,305.24,1353.42,302.24,1279.26,100.0
p269,n7,n358,54.8852,11,369.97,1543.26,421.93,1525.57,100.0
p270,n358,n359,54.8734,11,421.93,1525.57,473.87,1507.88,100.0
p271,n359,n22,54.8852,11,473.87,1507.88,525.83,1490.19,100.0
p272,n8,n360,54.4422,2,162.65,1181.32,217.03,1178.62,100.0
p273,n360,n361,54.4379,2,217.03,1178.62,271.4,1175.93,100.0
p274,n361,n20,54.4422,2,271.4,1175.93,325.78,1173.23,100.0
p275,n10,n362,55.052,11,361.45,1475.42,413.65,1457.94,100.0
p276,n362,n363,42.0531,11,413.65,1457.94,452.68,1442.27,100.0
p277,n363,n19,52.7753,11,452.68,1442.27,439.91,1391.07,100.0
p278,n11,n364,49.2109,2,167.14,1118.61,216.32,1116.79,100.0
p279,n364,n365,49.202,2,216.32,1116.79,265.49,1114.97,100.0
p280,n365,n23,49.2109,2,265.49,1114.97,314.66,1113.15,100.0
p281,n13,n366,46.9238,2,170.68,1059.78,217.01,1052.35,100.0
p282,n366,n367,46.9108,2,217.01,1052.35,263.33,1044.91,100.0
p283,n367,n26,46.9238,2,263.33,1044.91,309.66,1037.48,100.0
p284,n15,n368,40.9555,11,344.84,1347.41,384.84,1338.64,100.0
p285,n368,n345,40.9555,11,384.84,1338.64,424.85,1329.87,100.0
p286,n17,n369,41.7936,2,177.12,987.98,218.18,980.17,100.0
p287,n369,n370,41.7842,2,218.18,980.17,259.23,972.37,100.0
p288,n370,n33,41.7936,2,259.23,972.37,300.29,964.57,100.0
p289,n19,n371,44.3754,11,439.91,1391.07,396.53,1400.41,100.0
p290,n371,n344,44.388,11,396.53,1400.41,353.14,1409.75,100.0
p291,n20,n372,52.1064,2,325.78,1173.23,377.56,1167.44,100.0
p292,n372,n27,31.2938,2,377.56,1167.44,378.84,1136.18,100.0
p293,n21,n373,56.6909,2,181.22,914.67,236.81,903.59,100.0
p294,n373,n35,56.6782,2,236.81,903.59,292.4,892.5,100.0
p295,n22,n374,45.2612,11,525.83,1490.19,515.11,1446.21,100.0
p296,n374,n375,45.2612,11,515.11,1446.21,504.4,1402.24,100.0
p297,n375,n376,45.2708,11,504.4,1402.24,493.68,1358.26,100.0
p298,n376,n29,45.2612,11,493.68,1358.26,482.97,1314.28,100.0
p299,n23,n377,37.911,2,314.66,1113.15,312.17,1075.32,100.0
p300,n377,n26,37.92,2,312.17,1075.32,309.66,1037.48,100.0
p301,n24,n378,42.1213,2,393.3,1207.5,403.81,1248.29,100.0
p302,n378,n379,42.1282,11,403.81,1248.29,414.34,1289.08,100.0
p303,n379,n345,42.1213,11,414.34,1289.08,424.85,1329.87,100.0
p304,n28,n380,51.8914,2,305.94,1008.07,354.86,990.76,100.0
p305,n380,n42,51.8798,2,354.86,990.76,403.76,973.45,100.0
p306,n30,n381,49.2268,11,575.55,1471.84,563.14,1424.2,100.0
p307,n381,n382,49.2364,11,563.14,1424.2,550.73,1376.56,100.0
p308,n382,n383,49.2241,11,550.73,1376.56,538.31,1328.92,100.0
p309,n383,n36,49.2364,11,538.31,1328.92,525.89,1281.28,100.0
p310,n32,n384,54.2583,11,478.09,1296.3,462.92,1244.21,100.0
p311,n384,n346,54.2656,2,462.92,1244.21,447.73,1192.11,100.0
p312,n34,n385,37.8059,2,423.91,1120.35,435.83,1156.23,100.0
p313,n385,n346,37.8079,2,435.83,1156.23,447.73,1192.11,100.0
p314,n38,n386,58.7666,2,288.82,853.94,329.56,896.3,100.0
p315,n386,n40,58.7569,2,329.56,896.3,370.29,938.65,100.0
p316,n44,n387,48.3058,2,526.16,1162.06,504.22,1119.03,200.0
p317,n387,n388,48.3053,2,504.22,1119.03,482.27,1075.99,200.0
p318,n388,n45,48.3058,2,482.27,1075.99,460.34,1032.96,200.0
p319,n44,n389,41.9903,2,526.16,1162.06,486.95,1177.09,100.0
p320,n389,n346,41.9919,2,486.95,1177.09,447.73,1192.11,100.0
p321,n47,n390,31.6244,9,570.9,1208.08,571.47,1176.46,100.0
p322,n390,n391,59.993,9,571.47,1176.46,626.09,1151.64,100.0
p323,n391,n392,48.7937,9,626.09,1151.64,672.85,1137.73,100.0
p324,n392,n60,46.2596,9,672.85,1137.73,716.93,1123.7,100.0
p325,n47,n393,50.5907,9,570.9,1208.08,621.49,1207.6,100.0
p326,n393,n394,50.5858,9,621.49,1207.6,672.07,1207.11,100.0
p327,n394,n395,50.5907,9,672.07,1207.11,722.66,1206.63,100.0
p328,n395,n396,50.5858,9,722.66,1206.63,773.24,1206.15,100.0
p329,n396,n397,50.582,9,773.24,1206.15,823.82,1205.67,100.0
p330,n397,n398,50.5858,9,823.82,1205.67,874.41,1205.19,100.0
p331,n398,n399,50.5907,9,874.41,1205.19,924.99,1204.71,100.0
p332,n399,n75,50.5858,9,924.99,1204.71,975.58,1204.22,100.0
p333,n48,n400,50.2578,9,617.95,1261.56,668.21,1260.96,100.0
p334,n400,n401,50.254,9,668.21,1260.96,718.46,1260.38,100.0
p335,n401,n59,50.2578,9,718.46,1260.38,768.71,1259.78,100.0
p336,n48,n402,44.39,9,617.95,1261.56,630.46,1304.15,100.0
p337,n402,n403,47.1041,9,630.46,1304.15,659.77,1341.02,100.0
p338,n403,n404,55.5457,9,659.77,1341.02,689.25,1388.1,100.0
p339,n404,n50,39.5692,9,689.25,1388.1,727.0,1399.94,100.0
p340,n49,n405,45.5401,2,519.13,1067.77,564.22,1061.39,100.0
p341,n405,n57,45.5271,9,564.22,1061.39,609.29,1055.0,100.0
p342,n51,n406,40.1571,2,445.94,892.44,486.07,891.14,100.0
p343,n406,n58,40.1436,2,486.07,891.14,526.2,889.83,100.0
p344,n52,n407,53.4351,2,512.28,995.79,519.24,942.81,100.0
p345,n407,n58,53.429,2,519.24,942.81,526.2,889.83,100.0
p346,n54,n408,53.3182,9,621.8,1124.08,673.38,1110.58,200.0
p347,n408,n62,53.3059,9,673.38,1110.58,724.95,1097.08,200.0
p348,n55,n409,54.3413,9,777.67,1368.09,773.19,1313.93,100.0
p349,n409,n59,54.3413,9,773.19,1313.93,768.71,1259.78,100.0
p350,n55,n410,56.1843,9,777.67,1368.09,820.52,1331.76,100.0
p351,n410,n411,56.1924,9,820.52,1331.76,863.39,1295.43,100.0
p352,n411,n68,56.1843,9,863.39,1295.43,906.24,1259.09,100.0
p353,n56,n412,50.8629,9,566.99,994.58,617.83,993.35,150.0
p354,n412,n413,50.8589,9,617.83,993.35,668.68,992.14,150.0
p355,n413,n67,50.8629,9,668.68,992.14,719.53,990.91,150.0
p356,n57,n414,56.7688,9,609.29,1055.0,665.79,1049.48,100.0
p357,n414,n66,56.7688,9,665.79,1049.48,722.29,1043.96,100.0
p358,n58,n415,56.9344,10,526.2,889.83,532.49,833.25,100.0
p359,n415,n117,56.9365,10,532.49,833.25,538.76,776.66,100.0
p360,n59,n416,45.8457,9,768.71,1259.78,814.56,1259.54,100.0
p361,n416,n417,45.842,9,814.56,1259.54,860.4,1259.32,100.0
p362,n417,n68,45.8457,9,860.4,1259.32,906.24,1259.09,100.0
p363,n62,n418,45.0275,9,724.95,1097.08,768.31,1084.95,150.0
p364,n418,n419,45.0372,9,768.31,1084.95,811.68,1072.8,150.0
p365,n419,n72,45.0275,9,811.68,1072.8,855.04,1060.67,150.0
p366,n63,n420,50.3755,9,761.12,1142.36,811.49,1142.14,100.0
p367,n420,n421,50.3705,9,811.49,1142.14,861.86,1141.9,100.0
p368,n421,n422,50.3755,9,861.86,1141.9,912.24,1141.67,100.0
p369,n422,n423,50.3668,9,912.24,1141.67,962.6,1141.45,100.0
p370,n423,n424,50.3705,9,962.6,1141.45,1012.97,1141.21,100.0
p371,n424,n82,50.3755,9,1012.97,1141.21,1063.35,1140.98,100.0
p372,n64,n425,44.8347,9,722.95,1058.3,767.35,1052.08,100.0
p373,n425,n426,44.8216,9,767.35,1052.08,811.74,1045.87,100.0
p374,n426,n73,44.8347,9,811.74,1045.87,856.14,1039.65,100.0
p375,n65,n427,48.2043,9,760.67,1111.34,807.97,1102.08,200.0
